[Gene ID]	[source_id]	[Gene Name or Symbol]	[Organism]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Function IDs]	[Computed GO Functions]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Function IDs]	[Curated GO Functions]	[Curated GO Process IDs]	[Curated GO Processes]	[EC numbers]	[EC numbers from OrthoMCL]	
CNAG_00760	CNAG_00760-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity	GO:0006555, GO:0055114	methionine metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.5.1.20 (Methylenetetrahydrofolate reductase (NAD(P)H))	
CNAG_00761	CNAG_00761-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00762	CNAG_00762-t26_1	DPH1	C. neoformans var. grubii H99	GO:0005737	cytoplasm	N/A	N/A	GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	N/A	N/A	N/A	N/A	GO:0009405	pathogenesis	N/A	N/A	
CNAG_00764	CNAG_00764-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0003676	ATP binding, nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.13 (RNA helicase)	
CNAG_00765	CNAG_00765-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00766	CNAG_00766-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00768	CNAG_00768-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00769	CNAG_00769-t26_1	PBS2	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0004672, GO:0016772	ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	GO:0006972, GO:0009405, GO:0009411, GO:0060992, GO:0006979	hyperosmotic response, pathogenesis, response to UV, response to fungicide, response to oxidative stress	N/A	2.7.12.2 (Mitogen-activated protein kinase kinase)	
CNAG_00770	CNAG_00770-t26_1	N/A	C. neoformans var. grubii H99	GO:0032301, GO:0032302	MutSalpha complex, MutSbeta complex	GO:0005524, GO:0030983	ATP binding, mismatched DNA binding	GO:0006298	mismatch repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00771	CNAG_00771-t26_1	N/A	C. neoformans var. grubii H99	GO:0005622, GO:0005840	intracellular, ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00772	CNAG_00772-t26_1	RAD23	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003684, GO:0005515	damaged DNA binding, protein binding	GO:0006289, GO:0043161	nucleotide-excision repair, proteasome-mediated ubiquitin-dependent protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00773	CNAG_00773-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00774	CNAG_00774-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0051287, GO:0016616	NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0008152, GO:0055114	metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.95 (Phosphoglycerate dehydrogenase)	
CNAG_00775	CNAG_00775-t26_1	N/A	C. neoformans var. grubii H99	GO:0005730	nucleolus	GO:0005515	protein binding	GO:0006364	rRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00776	CNAG_00776-t26_1	MP88	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00777	CNAG_00777-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00778	CNAG_00778-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00779	CNAG_00779-t26_1	RPL27	C. neoformans var. grubii H99	GO:0005622, GO:0005840	intracellular, ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00780	CNAG_00780-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00780	CNAG_00780-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00781	CNAG_00781-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00782	CNAG_00782-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0004672, GO:0016772	ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00783	CNAG_00783-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00784	CNAG_00784-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00785	CNAG_00785-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0003676	ATP binding, nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.13 (RNA helicase)	
CNAG_00786	CNAG_00786-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00787	CNAG_00787-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005488	binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00788	CNAG_00788-t26_1	NDH1	C. neoformans var. grubii H99	N/A	N/A	GO:0050660, GO:0016491	flavin adenine dinucleotide binding, oxidoreductase activity	GO:0055114	oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.6.-.- (Acting on NADH or NADPH.)	
CNAG_00789	CNAG_00789-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00790	CNAG_00790-t26_1	N/A	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0003824	catalytic activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.3.4 (Phosphatidate phosphatase)	
CNAG_00791	CNAG_00791-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0046983	protein dimerization activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00792	CNAG_00792-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0005524, GO:0016887, GO:0042626	ATP binding, ATPase activity, ATPase activity, coupled to transmembrane movement of substances	GO:0055085, GO:0006810	transmembrane transport, transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.44 (Xenobiotic-transporting ATPase)	
CNAG_00793	CNAG_00793-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0003899	DNA binding, DNA-directed RNA polymerase activity	GO:0006351	transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.7.6 (DNA-directed RNA polymerase)	
CNAG_00794	CNAG_00794-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00795	CNAG_00795-t26_1	CFL1	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0009405	pathogenesis	N/A	N/A	
CNAG_00796	CNAG_00796-t26_1	MDR1	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0005524, GO:0016887, GO:0042626	ATP binding, ATPase activity, ATPase activity, coupled to transmembrane movement of substances	GO:0055085, GO:0006810	transmembrane transport, transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.44 (Xenobiotic-transporting ATPase)	
CNAG_00797	CNAG_00797-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016208, GO:0003987, GO:0003824	AMP binding, acetate-CoA ligase activity, catalytic activity	GO:0019427, GO:0008152	acetyl-CoA biosynthetic process from acetate, metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.2.1.1 (Acetate--CoA ligase)	
CNAG_00798	CNAG_00798-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00799	CNAG_00799-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975	carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00800	CNAG_00800-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824	catalytic activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.1.19 (Nicotinamidase)	
CNAG_00801	CNAG_00801-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00802	CNAG_00802-t26_1	CBP1	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	GO:0019722	calcium-mediated signaling	N/A	N/A	N/A	N/A	GO:0009405	pathogenesis	N/A	N/A	
CNAG_00803	CNAG_00803-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00804	CNAG_00804-t26_1	N/A	C. neoformans var. grubii H99	GO:0005737, GO:0005634	cytoplasm, nucleus	GO:0005525	GTP binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00805	CNAG_00805-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00806	CNAG_00806-t26_1	N/A	C. neoformans var. grubii H99	GO:0005739	mitochondrion	GO:0004857	enzyme inhibitor activity	GO:0045980	negative regulation of nucleotide metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00807	CNAG_00807-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515, GO:0008270	protein binding, zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00808	CNAG_00808-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005509	calcium ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00809	CNAG_00809-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0003676	ATP binding, nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.13 (RNA helicase)	
CNAG_00810	CNAG_00810-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.3.32 (Polynucleotide 3'-phosphatase)	
CNAG_00811	CNAG_00811-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004048, GO:0016757	anthranilate phosphoribosyltransferase activity, transferase activity, transferring glycosyl groups	GO:0008152, GO:0000162	metabolic process, tryptophan biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.4.2.18 (Anthranilate phosphoribosyltransferase)	
CNAG_00812	CNAG_00812-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005488	binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00813	CNAG_00813-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00814	CNAG_00814-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00815	CNAG_00815-t26_1	SIT1	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00816	CNAG_00816-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00817	CNAG_00817-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00818	CNAG_00818-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005096, GO:0008270	GTPase activator activity, zinc ion binding	GO:0043087	regulation of GTPase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00819	CNAG_00819-t26_1	N/A	C. neoformans var. grubii H99	GO:0005622, GO:0005840	intracellular, ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00820	CNAG_00820-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004664	prephenate dehydratase activity	GO:0009094	L-phenylalanine biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.51 (Prephenate dehydratase)	
CNAG_00821	CNAG_00821-t26_1	N/A	C. neoformans var. grubii H99	GO:0005622, GO:0005840	intracellular, ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00822	CNAG_00822-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00823	CNAG_00823-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0005524, GO:0016887, GO:0042626	ATP binding, ATPase activity, ATPase activity, coupled to transmembrane movement of substances	GO:0055085, GO:0006810	transmembrane transport, transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.3.44 (Xenobiotic-transporting ATPase)	
CNAG_00824	CNAG_00824-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016881	acid-amino acid ligase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	
CNAG_00825	CNAG_00825-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00826	CNAG_00826-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0004371	ATP binding, glycerone kinase activity	GO:0006071	glycerol metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.29 (Glycerone kinase)	
CNAG_00827	CNAG_00827-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016853, GO:0004751	isomerase activity, ribose-5-phosphate isomerase activity	GO:0005975	carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.6 (Ribose-5-phosphate isomerase)	
CNAG_00828	CNAG_00828-t26_1	SIP401	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00829	CNAG_00829-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	GO:0006511	ubiquitin-dependent protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00830	CNAG_00830-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00831	CNAG_00831-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824, GO:0050662	catalytic activity, coenzyme binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.1.3.2 (UDP-glucose 4-epimerase)	
CNAG_00832	CNAG_00832-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0051287, GO:0016616	NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0008152, GO:0055114	metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.28 (D-lactate dehydrogenase)	
CNAG_00833	CNAG_00833-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00834	CNAG_00834-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004609	phosphatidylserine decarboxylase activity	GO:0008654	phospholipid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.1.65 (Phosphatidylserine decarboxylase)	
CNAG_00834	CNAG_00834-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004609	phosphatidylserine decarboxylase activity	GO:0008654	phospholipid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.1.65 (Phosphatidylserine decarboxylase)	
CNAG_00835	CNAG_00835-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00836	CNAG_00836-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0051287, GO:0016616	NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0008152, GO:0055114	metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.- (With NAD(+) or NADP(+) as acceptor.)	
CNAG_00837	CNAG_00837-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0008324	cation transmembrane transporter activity	GO:0006812, GO:0055085	cation transport, transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00838	CNAG_00838-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00839	CNAG_00839-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824	catalytic activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.-.-.- (Hydrolases.)	
CNAG_00840	CNAG_00840-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00841	CNAG_00841-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00843	CNAG_00843-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.14.13.1 (Salicylate 1-monooxygenase)	
CNAG_00844	CNAG_00844-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00845	CNAG_00845-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00846	CNAG_00846-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00847	CNAG_00847-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00848	CNAG_00848-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00848	CNAG_00848-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00848	CNAG_00848-t26_3	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00849	CNAG_00849-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00850	CNAG_00850-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824	catalytic activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00851	CNAG_00851-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00852	CNAG_00852-t26_1	N/A	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0016772	transferase activity, transferring phosphorus-containing groups	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.174 (Diacylglycerol kinase (CTP))	
CNAG_00853	CNAG_00853-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.13.- (Exoribonucleases producing 5'-phosphomonoesters.)	
CNAG_00854	CNAG_00854-t26_1	ERG2	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.-.-.- (Isomerases.)	
CNAG_00855	CNAG_00855-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515, GO:0008270	protein binding, zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.3.2.- (Acid--amino-acid ligases (peptide synthases).)	
CNAG_00858	CNAG_00858-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00859	CNAG_00859-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00860	CNAG_00860-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00861	CNAG_00861-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00862	CNAG_00862-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00863	CNAG_00863-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.14.13.- (With NADH or NADPH as one donor, and incorporation of one atom of oxygen.)	
CNAG_00864	CNAG_00864-t26_1	ITR2	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0022891, GO:0022857	substrate-specific transmembrane transporter activity, transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00865	CNAG_00865-t26_1	CAS92	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00866	CNAG_00866-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824	catalytic activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00866	CNAG_00866-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00867	CNAG_00867-t26_1	ITR3A	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0022891, GO:0022857	substrate-specific transmembrane transporter activity, transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00867	CNAG_00867-t26_2	ITR3A	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0022891, GO:0022857	substrate-specific transmembrane transporter activity, transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00867	CNAG_00867-t26_3	ITR3A	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0022891, GO:0022857	substrate-specific transmembrane transporter activity, transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00868	CNAG_00868-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
